mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4134981632232666,0.012130466720011928,0.010583114624023438,0.0016322237644664274,3,0.8,0.7,0.1,"{'max_depth': 3, 'max_features': 0.8, 'max_samples': 0.7, 'min_samples_split': 0.1}",0.51,0.56,0.505,0.51,0.525,0.522,0.020149441679609904,207
0.3707076072692871,0.03094410848690665,0.00846562385559082,0.0007568384640837996,3,0.8,0.8,0.01,"{'max_depth': 3, 'max_features': 0.8, 'max_samples': 0.8, 'min_samples_split': 0.01}",0.5,0.56,0.545,0.505,0.53,0.5279999999999999,0.02293468988235945,159
0.36664204597473143,0.013654286221782485,0.008667945861816406,0.0018455512233388287,3,0.8,0.8,0.03,"{'max_depth': 3, 'max_features': 0.8, 'max_samples': 0.8, 'min_samples_split': 0.03}",0.525,0.56,0.54,0.535,0.54,0.54,0.01140175425099139,26
0.37899441719055177,0.021664704887475048,0.01008138656616211,0.0031990144031168633,3,0.8,0.8,0.07,"{'max_depth': 3, 'max_features': 0.8, 'max_samples': 0.8, 'min_samples_split': 0.07}",0.53,0.565,0.535,0.52,0.52,0.534,0.016552945357246822,80
0.4297211170196533,0.005335822324843832,0.010391712188720703,0.0005456096118966548,3,0.8,0.8,0.1,"{'max_depth': 3, 'max_features': 0.8, 'max_samples': 0.8, 'min_samples_split': 0.1}",0.51,0.54,0.545,0.53,0.515,0.528,0.01363818169698587,147
0.4370159149169922,0.028403129484366147,0.010130167007446289,0.0012916865390385935,3,0.8,0.9,0.01,"{'max_depth': 3, 'max_features': 0.8, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.545,0.535,0.57,0.525,0.535,0.542,0.01536229149573719,13
0.4035759449005127,0.016288983902231973,0.009059476852416991,0.0013663904962841042,3,0.8,0.9,0.03,"{'max_depth': 3, 'max_features': 0.8, 'max_samples': 0.9, 'min_samples_split': 0.03}",0.475,0.57,0.555,0.51,0.525,0.527,0.033555923471125036,163
0.40943431854248047,0.018418307327960622,0.010417699813842773,0.003793461614497443,3,0.8,0.9,0.07,"{'max_depth': 3, 'max_features': 0.8, 'max_samples': 0.9, 'min_samples_split': 0.07}",0.52,0.54,0.55,0.505,0.5,0.523,0.019390719429665332,198
0.384259033203125,0.023413859601766344,0.009071922302246094,0.0009432007447716092,3,0.8,0.9,0.1,"{'max_depth': 3, 'max_features': 0.8, 'max_samples': 0.9, 'min_samples_split': 0.1}",0.53,0.545,0.54,0.555,0.535,0.5410000000000001,0.008602325267042634,19
0.4047147274017334,0.030670769212998352,0.008068418502807618,0.0013662018985897489,3,0.8,1.0,0.01,"{'max_depth': 3, 'max_features': 0.8, 'max_samples': 1.0, 'min_samples_split': 0.01}",0.495,0.56,0.54,0.525,0.52,0.528,0.021587033144922923,147
